bars_x,bars_y,distr_x,distr_sum_y,distr_1_y,distr_2_y,distr_3_y,distr_4_y,distr_5_y
70,24,70,18.0919212747855,2.85468024036892e-10,11.7655283559541,6.30504642762904,0.0152145036941553,0.00613198722269897
72,22,72,18.1924857522302,4.51676003300868e-11,9.79136094740945,8.35282941040083,0.0376562582912246,0.0106391360835517
74,21,74,18.4847384706303,6.71356443931672e-12,7.9838346471189,10.3952641579838,0.087553423672485,0.0180862418483641
76,19,76,18.7531292930395,9.37423638194853e-13,6.3784749475268,12.1532950799036,0.191234258975125,0.0301250066329796
78,18,78,18.7823048658488,1.22963221926772e-13,4.9929707493091,13.3477833920344,0.392387221943654,0.0491635025615236
80,22,80,18.435911261575,1.51520419027813e-14,3.82946440245449,13.7714875194575,0.756346166297483,0.0786131733655209
82,21,82,17.7182691676021,1.75397615976766e-15,2.87775554308467,13.3477833920344,1.36956597670905,0.123164255774035
84,25,84,16.7909513833149,1.90736058735531e-16,2.11888120526607,12.1532950799036,2.32971020504407,0.189064893101169
86,26,86,15.9311021605264,1.94849150870185e-17,1.5286081320927,10.3952641579838,3.72286630736397,0.284363563085848
88,25,88,15.4410659092724,1.8699105227354e-18,1.08049452328212,8.35282941040083,5.58868425298323,0.419057722606272
90,26,90,15.5397487570002,1.68577546391571e-19,0.748317361796914,6.30504642762904,7.8813080345363,0.605076933037986
92,16,92,16.2757967962985,1.42769430219224e-20,0.507792076939014,4.47094740238658,10.441036763001,0.856020553971911
94,21,94,17.4965625988578,1.13586657282228e-21,0.337615880537802,2.97829304589118,12.9940801974798,1.186573474949
96,19,96,18.8868662890673,8.48938063943183e-23,0.219936171025063,1.86376816403525,15.1916188498795,1.61154310412742
98,18,98,20.0652627535088,5.9604807399e-24,0.140380666724145,1.09565278136724,16.6847292400429,2.14450006537452
100,26,100,20.7032919208328,3.93136318392393e-25,0.0877919688598636,0.605076933037986,17.2143593993218,2.79606361961309
102,19,102,20.6243796429146,2.43591224473385e-26,0.0537946547017494,0.313909777554923,16.6847292400429,3.57194597061501
104,19,104,19.8478505198897,1.41787095334295e-27,0.0322968604435073,0.1529874071801,15.1916188498795,4.47094740238658
106,25,106,18.5662835242591,7.75297471452165e-29,0.0189984572920566,0.070042738937988,12.9940801974798,5.48316213054929
108,11,108,17.0708076261517,3.98250770233603e-30,0.010949977183391,0.0301250066329796,10.441036763001,6.58869587933431
110,20,110,15.6568578334443,1.92177029492598e-31,0.0061836505510324,0.0121716029553242,7.8813080345363,7.75719454540163
112,22,112,14.5451536346442,8.71170022695499e-33,0.0034214761009706,0.00461981939340384,5.58868425298323,8.94842808616658
114,14,114,13.8404317715851,3.7098894147194e-34,0.00185489328939133,0.00164724733340239,3.72286630736397,10.1140633235983
116,9,116,13.531850961988,1.48414249617383e-35,0.000985283469661388,0.000551758743010377,2.32971020504407,11.2006037147312
118,10,118,13.5235474661053,5.57759314770177e-37,0.000512790901024965,0.000173618591602211,1.36956597670905,12.1532950799036
120,17,120,13.6772833455756,1.96913122077899e-38,0.000261490714424834,5.1321557648628e-05,0.756346166297483,12.920624367006
